ts_code,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type
000816.SZ,2026-02-02,3.92,3.73,3.96,3.72,1315422.0,501441293.79,-7.44,qfq
000816.SZ,2026-02-03,3.81,4.0,4.1,3.76,1636842.0,642981411.11,7.24,qfq
000816.SZ,2026-02-04,4.29,4.03,4.3,4.0,2768113.0,1136311144.61,0.75,qfq
000816.SZ,2026-02-05,3.85,3.81,3.99,3.77,1559420.0,600314440.28,-5.46,qfq
000816.SZ,2026-02-06,3.77,3.67,3.78,3.64,1159490.0,428128345.6,-3.67,qfq
000816.SZ,2026-02-09,3.7,3.69,3.75,3.67,727730.0,269017502.04,0.54,qfq
000816.SZ,2026-02-10,3.67,3.61,3.68,3.6,711885.0,257627045.7,-2.17,qfq
000816.SZ,2026-02-11,3.61,3.62,3.66,3.59,481108.0,174546162.9,0.28,qfq
000816.SZ,2026-02-12,3.6,3.56,3.62,3.55,462632.0,165377380.98,-1.66,qfq
000816.SZ,2026-02-13,3.56,3.56,3.59,3.55,358513.0,127911901.25,0.0,qfq
000816.SZ,2026-02-24,3.6,3.67,3.68,3.6,703469.0,257124221.55,3.09,qfq
000816.SZ,2026-02-25,3.67,4.04,4.04,3.66,1573243.0,619952082.92,10.08,qfq
000816.SZ,2026-02-26,4.05,3.97,4.07,3.95,1890359.0,755383701.7,-1.73,qfq
000816.SZ,2026-02-27,3.96,4.04,4.06,3.96,1005545.0,403549786.22,1.76,qfq
000816.SZ,2026-03-02,4.01,4.04,4.12,3.97,1119351.0,450993747.48,0.0,qfq
000816.SZ,2026-03-03,4.05,3.89,4.09,3.88,992433.0,394757774.8,-3.71,qfq
000816.SZ,2026-03-04,3.81,3.93,4.0,3.78,907723.0,355978875.84,1.03,qfq
000816.SZ,2026-03-05,4.0,3.88,4.02,3.85,765553.0,299014317.3,-1.27,qfq
000816.SZ,2026-03-06,3.88,3.94,3.96,3.81,607712.0,237212455.0,1.55,qfq
000816.SZ,2026-03-09,3.93,3.83,3.94,3.75,714678.0,273608883.93,-2.79,qfq
000816.SZ,2026-03-10,3.84,3.77,3.9,3.76,663279.0,252384873.7,-1.57,qfq
000816.SZ,2026-03-11,3.78,3.8,3.85,3.72,645167.0,243727800.9,0.8,qfq
000816.SZ,2026-03-12,3.8,3.72,3.8,3.71,597449.0,223324095.72,-2.11,qfq
000816.SZ,2026-03-13,3.72,3.78,3.92,3.7,1213605.0,465107595.89,1.61,qfq
000816.SZ,2026-03-16,3.73,3.7,3.85,3.66,892670.0,333190819.65,-2.12,qfq
000816.SZ,2026-03-17,3.72,3.64,3.83,3.63,794219.0,295177866.95,-1.62,qfq
000816.SZ,2026-03-18,3.63,3.57,3.64,3.51,628052.0,223138842.0,-1.92,qfq
000816.SZ,2026-03-19,3.55,3.43,3.55,3.41,513702.0,177637446.66,-3.92,qfq
000816.SZ,2026-03-20,3.44,3.37,3.45,3.36,382726.0,130043101.0,-1.75,qfq
000816.SZ,2026-03-23,3.3,3.2,3.31,3.16,574029.0,186287092.25,-5.04,qfq
000816.SZ,2026-03-24,3.28,3.3,3.31,3.18,401440.0,130363173.0,3.13,qfq
000816.SZ,2026-03-25,3.34,3.35,3.37,3.3,352384.0,117737002.42,1.52,qfq
000816.SZ,2026-03-26,3.33,3.3,3.38,3.28,312269.0,103777717.6,-1.49,qfq
000816.SZ,2026-03-27,3.25,3.34,3.35,3.24,276700.0,91725060.48,1.21,qfq
000816.SZ,2026-03-30,3.29,3.4,3.42,3.28,409073.0,137877667.03,1.8,qfq
000816.SZ,2026-03-31,3.41,3.29,3.42,3.29,358227.0,119824842.16,-3.24,qfq
000816.SZ,2026-04-01,3.34,3.3,3.36,3.28,216027.0,71397533.5,0.3,qfq
000816.SZ,2026-04-02,3.28,3.23,3.3,3.2,267296.0,86749431.04,-2.12,qfq
000816.SZ,2026-04-03,3.24,3.11,3.25,3.09,299469.0,93814502.0,-3.72,qfq
000816.SZ,2026-04-07,3.09,3.2,3.21,3.09,274885.0,86803325.1,2.89,qfq
000816.SZ,2026-04-08,3.25,3.28,3.29,3.22,296149.0,96565485.3,2.5,qfq
000816.SZ,2026-04-09,3.26,3.21,3.27,3.19,231996.0,74782234.21,-2.13,qfq
000816.SZ,2026-04-10,3.22,3.23,3.27,3.22,221493.0,71972076.0,0.62,qfq
000816.SZ,2026-04-13,3.2,3.24,3.25,3.19,205735.0,66248653.0,0.31,qfq
000816.SZ,2026-04-14,3.26,3.25,3.27,3.2,263601.0,85052166.51,0.31,qfq
000816.SZ,2026-04-15,3.25,3.19,3.27,3.18,287989.0,92776156.7,-1.85,qfq
000816.SZ,2026-04-16,3.2,3.25,3.25,3.17,265753.0,85585038.5,1.88,qfq
000816.SZ,2026-04-17,3.24,3.22,3.25,3.19,267161.0,85866297.0,-0.92,qfq
000816.SZ,2026-04-20,3.23,3.26,3.28,3.22,275739.0,89818325.52,1.24,qfq
000816.SZ,2026-04-21,3.27,3.23,3.27,3.2,243649.0,78390319.0,-0.92,qfq
000816.SZ,2026-04-22,3.23,3.2,3.24,3.19,227954.0,72993946.99,-0.93,qfq
000816.SZ,2026-04-23,3.19,3.13,3.21,3.12,284562.0,89566971.0,-2.19,qfq
000816.SZ,2026-04-24,3.13,3.19,3.2,3.12,276779.0,87612263.69,1.92,qfq
000816.SZ,2026-04-27,3.16,3.14,3.16,3.0,447707.0,137859122.14,-1.57,qfq
000816.SZ,2026-04-28,3.15,3.14,3.17,3.11,235165.0,73698188.2,0.0,qfq
000816.SZ,2026-04-29,3.13,3.21,3.23,3.12,315409.0,100747230.7,2.23,qfq
000816.SZ,2026-04-30,3.21,3.23,3.24,3.19,241638.0,77621879.17,0.62,qfq
000816.SZ,2026-05-06,3.22,3.15,3.23,3.15,391402.0,124101424.15,-2.48,qfq
000816.SZ,2026-05-07,3.1,3.05,3.13,3.02,674037.0,205469173.25,-3.17,qfq
000816.SZ,2026-05-08,3.03,3.08,3.09,3.01,364720.0,111248699.8,0.98,qfq
000816.SZ,2026-05-11,3.08,3.06,3.11,3.03,347832.0,106609636.63,-0.65,qfq
000816.SZ,2026-05-12,3.06,3.01,3.07,3.0,330536.0,99817074.0,-1.63,qfq
000816.SZ,2026-05-13,3.02,3.03,3.05,3.0,230499.0,69787687.94,0.66,qfq
000816.SZ,2026-05-14,3.04,2.95,3.04,2.93,360045.0,106924167.27,-2.64,qfq
000816.SZ,2026-05-15,2.94,2.87,2.94,2.85,368685.0,106436050.49,-2.71,qfq
000816.SZ,2026-05-18,2.87,2.82,2.88,2.77,395346.0,110839747.12,-1.74,qfq
000816.SZ,2026-05-19,2.82,2.84,2.85,2.79,235294.0,66352529.6,0.71,qfq
000816.SZ,2026-05-20,2.83,2.77,2.83,2.75,241122.0,66736491.03,-2.46,qfq
000816.SZ,2026-05-21,2.78,2.68,2.81,2.68,270652.0,74493166.2,-3.25,qfq
000816.SZ,2026-05-22,2.69,2.73,2.75,2.64,264260.0,71646906.92,1.87,qfq
000816.SZ,2026-05-25,2.73,2.77,2.79,2.73,262077.0,72326562.26,1.47,qfq
000816.SZ,2026-05-26,2.76,2.71,2.76,2.66,243205.0,65776493.0,-2.17,qfq
000816.SZ,2026-05-27,2.73,2.63,2.73,2.59,292818.0,77143270.5,-2.95,qfq
000816.SZ,2026-05-28,2.61,2.65,2.68,2.59,236684.0,62474450.02,0.76,qfq
000816.SZ,2026-05-29,2.66,2.71,2.89,2.66,574671.0,159737508.4,2.26,qfq
000816.SZ,2026-06-01,2.64,2.76,2.77,2.6,338675.0,92143004.25,1.85,qfq
