ts_code,trade_date,open,high,low,close,volume,amount,pct_chg
002202.SZ,2025-08-05,9.52,9.65,9.51,9.64,275745,268525365.65,1.58
002202.SZ,2025-08-06,9.64,9.65,9.54,9.63,200734,195324438.0,-0.1
002202.SZ,2025-08-07,9.62,9.79,9.57,9.61,334742,327695216.54,-0.21
002202.SZ,2025-08-08,9.6,10.12,9.57,10.01,1144035,1152832068.51,4.16
002202.SZ,2025-08-11,10.06,10.14,9.96,10.11,605992,618133402.89,1.0
002202.SZ,2025-08-12,10.08,10.22,10.01,10.2,452287,464696746.48,0.89
002202.SZ,2025-08-13,10.18,10.34,10.14,10.27,456181,474595296.73,0.69
002202.SZ,2025-08-14,10.27,10.3,10.03,10.08,391191,402012903.15,-1.85
002202.SZ,2025-08-15,10.11,10.52,10.07,10.47,641923,666907089.62,3.87
002202.SZ,2025-08-18,10.47,10.5,10.35,10.4,530003,552060815.03,-0.67
002202.SZ,2025-08-19,10.41,10.48,10.33,10.38,392849,408752659.35,-0.19
002202.SZ,2025-08-20,10.38,10.56,10.27,10.55,448250,467052518.6,1.64
002202.SZ,2025-08-21,10.55,10.62,10.45,10.52,414523,437136152.13,-0.28
002202.SZ,2025-08-22,10.47,10.59,10.43,10.56,415191,436791177.37,0.38
002202.SZ,2025-08-25,11.01,11.62,11.01,11.62,1938875,2241085064.79,10.04
002202.SZ,2025-08-26,11.73,12.15,11.6,11.95,2705434,3228385840.84,2.84
002202.SZ,2025-08-27,11.74,11.9,11.52,11.52,1345166,1577343779.36,-3.6
002202.SZ,2025-08-28,11.52,11.68,11.19,11.46,845332,966569877.51,-0.52
002202.SZ,2025-08-29,11.47,11.56,11.3,11.42,629037,716862963.81,-0.35
002202.SZ,2025-09-01,11.41,11.47,11.14,11.26,719402,810897966.56,-1.4
002202.SZ,2025-09-02,11.33,11.34,10.9,10.99,670504,742387114.97,-2.4
002202.SZ,2025-09-03,11.06,11.42,11.02,11.36,966491,1087225666.92,3.37
002202.SZ,2025-09-04,11.31,11.45,10.94,11.11,734245,822442446.4,-2.2
002202.SZ,2025-09-05,11.1,12.22,11.07,12.22,1690798,2012463741.69,9.99
002202.SZ,2025-09-08,12.49,12.78,12.01,12.28,1852615,2281899232.19,0.49
002202.SZ,2025-09-09,12.32,12.56,12.09,12.25,955538,1175238893.0,-0.24
002202.SZ,2025-09-10,12.25,12.38,12.04,12.16,714593,869485119.06,-0.73
002202.SZ,2025-09-11,12.55,12.68,11.91,12.52,1928634,2392346561.82,2.96
002202.SZ,2025-09-12,12.7,12.8,12.32,12.36,1339127,1672424335.48,-1.28
002202.SZ,2025-09-15,12.37,12.5,12.19,12.31,999642,1233734953.27,-0.4
002202.SZ,2025-09-16,12.37,12.4,12.11,12.31,777825,954776942.93,0.0
002202.SZ,2025-09-17,12.45,13.44,12.33,13.23,1781240,2299129888.79,7.47
002202.SZ,2025-09-18,13.15,13.81,13.02,13.5,2023610,2735624110.17,2.04
002202.SZ,2025-09-19,13.4,13.98,13.25,13.71,1317633,1805109539.8,1.56
002202.SZ,2025-09-22,13.66,13.71,13.3,13.54,1054293,1416659538.63,-1.24
002202.SZ,2025-09-23,13.42,13.56,12.92,13.12,1095044,1442446454.03,-3.1
002202.SZ,2025-09-24,13.11,13.42,13.01,13.41,943888,1249011965.71,2.21
002202.SZ,2025-09-25,13.49,14.46,13.4,14.07,1908427,2634586236.04,4.92
002202.SZ,2025-09-26,14.06,14.76,13.9,14.34,1893562,2736112193.44,1.92
002202.SZ,2025-09-29,14.7,15.23,14.15,14.57,2048846,3012952043.4,1.6
002202.SZ,2025-09-30,14.5,15.1,14.41,14.97,1415242,2093284132.41,2.75
002202.SZ,2025-10-09,15.2,16.47,15.02,16.24,1954909,3139884697.12,8.48
002202.SZ,2025-10-10,16.25,16.27,15.72,15.94,1709220,2724946013.85,-1.85
002202.SZ,2025-10-13,15.3,17.19,15.3,17.18,2100914,3426581746.23,7.78
002202.SZ,2025-10-14,17.18,18.5,16.41,16.5,2637078,4577681103.49,-3.96
002202.SZ,2025-10-15,16.9,16.99,16.01,16.73,1869569,3088397073.26,1.39
002202.SZ,2025-10-16,16.58,16.66,15.95,16.0,1820793,2946123552.08,-4.36
002202.SZ,2025-10-17,16.0,16.05,14.85,14.9,1880088,2870807230.8,-6.88
002202.SZ,2025-10-20,15.31,15.43,14.34,14.5,1976587,2893196243.56,-2.68
002202.SZ,2025-10-21,14.66,15.15,14.51,14.83,1498318,2233713735.69,2.28
002202.SZ,2025-10-22,14.94,15.38,14.65,15.07,2022231,3050333063.48,1.62
002202.SZ,2025-10-23,14.9,15.26,14.6,15.25,1367170,2036871850.46,1.19
002202.SZ,2025-10-24,15.15,15.97,15.08,15.83,1779304,2780311039.56,3.8
002202.SZ,2025-10-27,16.0,16.04,15.22,15.57,2034513,3166356539.02,-1.64
002202.SZ,2025-10-28,15.58,15.6,14.88,14.97,1650843,2498289281.33,-3.85
002202.SZ,2025-10-29,14.84,15.68,14.82,15.67,1569887,2421131011.65,4.68
002202.SZ,2025-10-30,15.68,16.93,15.52,16.38,2303511,3788914999.06,4.53
002202.SZ,2025-10-31,16.32,16.64,15.65,15.7,1701837,2720959340.75,-4.15
002202.SZ,2025-11-03,15.87,16.97,15.49,16.79,2225279,3622087330.19,6.94
002202.SZ,2025-11-04,16.63,16.67,16.01,16.22,1539449,2502677103.53,-3.39
002202.SZ,2025-11-05,15.8,16.93,15.7,16.77,1741496,2883355327.08,3.39
002202.SZ,2025-11-06,16.75,17.55,16.52,16.93,1978909,3365555868.37,0.95
002202.SZ,2025-11-07,16.71,17.09,16.53,16.66,1217865,2044834330.51,-1.59
002202.SZ,2025-11-10,16.4,16.5,15.46,15.6,1943292,3076428104.09,-6.36
002202.SZ,2025-11-11,15.7,15.96,15.41,15.53,994311,1558387845.85,-0.45
002202.SZ,2025-11-12,15.41,15.49,14.8,14.98,1149336,1723826909.34,-3.54
